Arbeitszeiterfassung L-GAV (Art. 15 und Art. 21)
Mitarbeiter:;Max Mustermann
Tag-ID:;TAG001
Zeitraum:;2025-12-04 bis 2025-12-17

Tag;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Monat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Woche 1

1. NB.SI.X;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
2. NB.SI.F;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
3. NB.SI;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00

Woche 2

1. NB.SI.X;;;;;;;;;;;F;X;X;F;X;X;FT;;;;;;;;;;;;;;
2. NB.SI.F;;;;;;;;;;;F;X;X;F;X;X;FT;;;;;;;;;;;;;;
3. NB.SI;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00

